,mouse,area,session,win,Hit,FA,DP
152,VE077,tjM1,3,Control,0.8539325842696629,0.05555555555555555,2.6466687463644405
153,VE077,tjM1,3,Stim,0.6666666666666666,0.2727272727272727,1.0353126458786945
154,VE077,tjM1,3,Pre,0.9090909090909091,0.18181818181818182,2.2436356046563217
155,VE077,tjM1,4,Response,0.2857142857142857,0.0,inf
156,VE077,tjM1,4,Post,0.2857142857142857,0.2222222222222222,0.1987608518535241
157,VE077,tjM1,4,Control,0.88,0.0784313725490196,2.5906888858665966
158,VE077,tjM1,4,Stim,0.0,0.14285714285714285,-inf
159,VE077,tjM1,4,Pre,0.2,0.125,0.308728146803094
160,VE077,tjM1,5,Response,0.3,0.08333333333333333,0.8585936143925976
161,VE077,tjM1,5,Post,0.25,0.23076923076923078,0.06182616718004774
162,VE077,tjM1,5,Control,0.7608695652173914,0.08247422680412371,2.097722105025184
163,VE077,tjM1,5,Stim,0.3333333333333333,0.0,inf
164,VE077,tjM1,5,Pre,0.46153846153846156,0.15384615384615385,0.9235176174965626
165,VE078,wS1,1,Response,0.45454545454545453,0.09090909090909091,1.2209924417975084
166,VE078,wS1,1,Post,0.5,0.1,1.2815515655446006
167,VE078,wS1,1,Control,0.6,0.041666666666666664,1.9850114992580452
168,VE078,wS1,1,Stim,0.6,0.2727272727272727,0.8579324497190369
169,VE078,wS1,1,Pre,0.4444444444444444,0.0,inf
170,VE078,wS1,2,Response,0.75,0.1111111111111111,1.8951300990434317
171,VE078,wS1,2,Post,1.0,0.1111111111111111,inf
172,VE078,wS1,2,Control,0.7794117647058824,0.14084507042253522,1.8467384186917788
173,VE078,wS1,2,Stim,0.6666666666666666,0.3333333333333333,0.861454598590915
174,VE078,wS1,2,Pre,0.875,0.5555555555555556,1.0106390814941462
175,VE078,wS1,3,Response,0.5555555555555556,0.1,1.4212618644264627
176,VE078,wS1,3,Post,0.4444444444444444,0.25,0.5347794513142197
177,VE078,wS1,3,Control,0.7432432432432432,0.09859154929577464,1.9429952566879418
178,VE078,wS1,3,Stim,0.5,0.1,1.2815515655446006
179,VE078,wS1,3,Pre,0.8888888888888888,0.0,inf
180,VE078,wS1,4,Response,0.8571428571428571,0.2222222222222222,1.8322801976645287
181,VE078,wS1,4,Post,0.7142857142857143,0.3333333333333333,0.9966761212283207
182,VE078,wS1,4,Control,0.6774193548387096,0.18032786885245902,1.3746108405175916
183,VE078,wS1,4,Stim,0.42857142857142855,0.14285714285714285,0.8875581540854368
184,VE078,wS1,4,Pre,0.5,0.375,0.3186393639643752
185,VE078,wS2,1,Response,0.6666666666666666,0.0,inf
186,VE078,wS2,1,Post,0.6666666666666666,0.16666666666666666,1.3981488653971588
187,VE078,wS2,1,Control,0.7692307692307693,0.18604651162790697,1.6288755903105805
188,VE078,wS2,1,Stim,0.0,0.0,
189,VE078,wS2,1,Pre,0.8333333333333334,0.2,1.8090427996746157
190,VE078,wS2,2,Response,0.7777777777777778,0.08333333333333333,2.147703800887026
191,VE078,wS2,2,Post,0.6666666666666666,0.16666666666666666,1.3981488653971588
192,VE078,wS2,2,Control,0.7,0.10526315789473684,1.77652003297326
193,VE078,wS2,2,Stim,0.5833333333333334,0.07142857142857142,1.6756621869334476
194,VE078,wS2,2,Pre,0.9285714285714286,0.07692307692307693,2.89131066495837
195,VE078,wS2,3,Response,0.375,0.0,inf
196,VE078,wS2,3,Post,0.7142857142857143,0.0,inf
197,VE078,wS2,3,Control,0.6444444444444445,0.046511627906976744,2.0500254301225747
198,VE078,wS2,3,Stim,0.2857142857142857,0.14285714285714285,0.5016217019452788
199,VE078,wS2,3,Pre,0.42857142857142855,0.0,inf
200,VE078,wS2,4,Response,0.5714285714285714,0.25,0.8545021199887868
201,VE078,wS2,4,Post,0.7142857142857143,0.2857142857142857,1.1318976438657262
202,VE078,wS2,4,Control,0.7209302325581395,0.14893617021276595,1.6266140729799767
203,VE078,wS2,4,Stim,0.5,0.14285714285714285,1.0675705238781419
204,VE078,wS2,4,Pre,0.7142857142857143,0.25,1.2404385721289448
205,VE078,wS2,5,Response,0.5714285714285714,0.25,0.8545021199887868
206,VE078,wS2,5,Post,0.7142857142857143,0.2857142857142857,1.1318976438657262
207,VE078,wS2,5,Control,0.7209302325581395,0.14893617021276595,1.6266140729799767
208,VE078,wS2,5,Stim,0.5,0.14285714285714285,1.0675705238781419
209,VE078,wS2,5,Pre,0.7142857142857143,0.25,1.2404385721289448
210,VE078,wM1,1,Response,0.6666666666666666,0.14285714285714285,1.4982978231735993
211,VE078,wM1,1,Post,0.8571428571428571,0.125,2.21791990425415
212,VE078,wM1,1,Control,0.6388888888888888,0.09302325581395349,1.6778557967392516
213,VE078,wM1,1,Stim,0.42857142857142855,0.0,inf
214,VE078,wM1,1,Pre,0.16666666666666666,0.14285714285714285,0.1001489577764405
215,VE078,wM1,2,Response,0.35714285714285715,0.0625,1.168014187551977
