,hypothesis,model_name,t_trial_21,t_trial12,power,activation,seed
31,withfb1,No sparsity,0.188783198595047,0.5788777470588684,0.1,0,0
32,withfb1,No sparsity,0.19423599541187286,0.5978522300720215,0.2,0,0
33,withfb1,No sparsity,0.20825956761837006,0.6018466353416443,0.5,0,0
34,withfb1,No sparsity,0.25709933042526245,0.590420126914978,1,0,0
35,withfb1,No sparsity,0.1876300722360611,0.21974503993988037,0,0,1
36,withfb1,No sparsity,0.19217820465564728,0.6361525058746338,0.1,0,1
37,withfb1,No sparsity,0.19780218601226807,0.613462507724762,0.2,0,1
38,withfb1,No sparsity,0.21377325057983398,0.6127161383628845,0.5,0,1
39,withfb1,No sparsity,0.25463294982910156,0.5959718823432922,1,0,1
40,withfb1,No sparsity,0.19112223386764526,0.22019866108894348,0,0,2
41,withfb1,No sparsity,0.19002865254878998,0.5819257497787476,0.1,0,2
42,withfb1,No sparsity,0.19801492989063263,0.5961584448814392,0.2,0,2
43,withfb1,No sparsity,0.22103235125541687,0.5996299982070923,0.5,0,2
44,withfb1,No sparsity,0.3429158926010132,0.5939972996711731,1,0,2
45,withfb1,Non-local inhibition,0.18020714819431305,0.2147541344165802,0,0,0
46,withfb1,Non-local inhibition,0.7625628113746643,0.7775383591651917,0.1,0,0
47,withfb1,Non-local inhibition,1.0805091857910156,1.155989170074463,0.2,0,0
48,withfb1,Non-local inhibition,1.4000030755996704,1.9419474601745605,0.5,0,0
49,withfb1,Non-local inhibition,1.6991544961929321,2.67059588432312,1,0,0
50,withfb1,Non-local inhibition,0.18314507603645325,0.2176750749349594,0,0,1
51,withfb1,Non-local inhibition,0.815138578414917,0.8867784738540649,0.1,0,1
52,withfb1,Non-local inhibition,1.16636323928833,1.0579438209533691,0.2,0,1
53,withfb1,Non-local inhibition,1.6945668458938599,1.7855087518692017,0.5,0,1
54,withfb1,Non-local inhibition,2.1118600368499756,2.1660633087158203,1,0,1
55,withfb1,Non-local inhibition,0.19041600823402405,0.2202421873807907,0,0,2
56,withfb1,Non-local inhibition,0.7207799553871155,0.7652186751365662,0.1,0,2
57,withfb1,Non-local inhibition,1.0451360940933228,1.0333600044250488,0.2,0,2
58,withfb1,Non-local inhibition,1.4518412351608276,1.7029139995574951,0.5,0,2
59,withfb1,Non-local inhibition,1.886622428894043,2.243762493133545,1,0,2
60,withfb1,No Dale's law,0.19271023571491241,0.22699634730815887,0,0,0
61,withfb1,No Dale's law,0.335566908121109,0.5786904096603394,0.1,0,0
62,withfb1,No Dale's law,0.6517122983932495,0.6186614036560059,0.2,0,0
63,withfb1,No Dale's law,1.6293691396713257,0.6699771881103516,0.5,0,0
64,withfb1,No Dale's law,4.28225040435791,0.8273776173591614,1,0,0
65,withfb1,No Dale's law,0.1755135953426361,0.19878028333187103,0,0,1
66,withfb1,No Dale's law,0.33486029505729675,1.1564310789108276,0.1,0,1
67,withfb1,No Dale's law,0.6591325402259827,0.6548449993133545,0.2,0,1
68,withfb1,No Dale's law,1.5933917760849,0.5894835591316223,0.5,0,1
69,withfb1,No Dale's law,3.5113019943237305,0.6929973363876343,1,0,1
70,withfb1,No Dale's law,0.17300093173980713,0.19997264444828033,0,0,2
71,withfb1,No Dale's law,0.25365927815437317,0.5473198890686035,0.1,0,2
72,withfb1,No Dale's law,0.36860156059265137,0.5763967037200928,0.2,0,2
73,withfb1,No Dale's law,0.8435649871826172,0.6144728064537048,0.5,0,2
74,withfb1,No Dale's law,2.2699906826019287,0.733882486820221,1,0,2
75,withfb1,No TM,0.31885677576065063,0.44844311475753784,0,0,0
76,withfb1,No TM,0.46548834443092346,1.161736011505127,0.1,0,0
77,withfb1,No TM,0.48642975091934204,1.1933350563049316,0.2,0,0
78,withfb1,No TM,0.4755363464355469,1.1880109310150146,0.5,0,0
79,withfb1,No TM,0.4248799979686737,1.1948176622390747,1,0,0
80,withfb1,No TM,0.3364158570766449,0.38842982053756714,0,0,1
81,withfb1,No TM,0.34351250529289246,0.9204531311988831,0.1,0,1
82,withfb1,No TM,0.3558075726032257,0.9882326126098633,0.2,0,1
83,withfb1,No TM,0.3805060386657715,1.0110915899276733,0.5,0,1
