,period,area,miss_diff,propabilities,session
78,delay,wS2,tensor(0.4130),"[0.3799999952316284, 0.07999999821186066, 0.4449999928474426, 0.0949999988079071]",3
79,response,wS2,tensor(0.0435),"[0.20999999344348907, 0.25, 0.4949999749660492, 0.044999998062849045]",3
80,off,wM1,0,"[0.1899999976158142, 0.26999998092651367, 0.44999998807907104, 0.08999999612569809]",3
81,whisker,wM1,tensor(0.0435),"[0.20999999344348907, 0.25, 0.4599999785423279, 0.07999999821186066]",3
82,delay,wM1,tensor(0.1739),"[0.26999998092651367, 0.1899999976158142, 0.4350000023841858, 0.10499999672174454]",3
83,response,wM1,tensor(0.1304),"[0.25, 0.20999999344348907, 0.5199999809265137, 0.019999999552965164]",3
84,off,wM2,0,"[0.1899999976158142, 0.26999998092651367, 0.44999998807907104, 0.08999999612569809]",3
85,whisker,wM2,tensor(0.1957),"[0.2800000011920929, 0.17999999225139618, 0.42499998211860657, 0.11499999463558197]",3
86,delay,wM2,tensor(0.3261),"[0.3400000035762787, 0.11999999731779099, 0.4650000035762787, 0.07499999552965164]",3
87,response,wM2,tensor(0.0109),"[0.19499999284744263, 0.26499998569488525, 0.4650000035762787, 0.07499999552965164]",3
88,off,ALM,0,"[0.1899999976158142, 0.26999998092651367, 0.44999998807907104, 0.08999999612569809]",3
89,whisker,ALM,tensor(-0.0217),"[0.17999999225139618, 0.2800000011920929, 0.44999998807907104, 0.08999999612569809]",3
90,delay,ALM,tensor(0.2174),"[0.28999999165534973, 0.17000000178813934, 0.4099999964237213, 0.12999999523162842]",3
91,response,ALM,tensor(-0.1087),"[0.14000000059604645, 0.3199999928474426, 0.3499999940395355, 0.1899999976158142]",3
92,off,tjM1,0,"[0.1899999976158142, 0.26999998092651367, 0.44999998807907104, 0.08999999612569809]",3
93,whisker,tjM1,tensor(0.0870),"[0.22999998927116394, 0.22999998927116394, 0.4599999785423279, 0.07999999821186066]",3
94,delay,tjM1,tensor(0.5217),"[0.429999977350235, 0.029999999329447746, 0.375, 0.16499999165534973]",3
95,response,tjM1,tensor(-0.0978),"[0.14499999582767487, 0.3149999976158142, 0.4050000011920929, 0.13499999046325684]",3
96,off,wS1,0,"[0.19999998807907104, 0.2849999964237213, 0.42499998211860657, 0.08999999612569809]",4
97,whisker,wS1,tensor(0.0515),"[0.22499999403953552, 0.25999999046325684, 0.45499998331069946, 0.05999999865889549]",4
98,delay,wS1,tensor(0.0515),"[0.22499999403953552, 0.25999999046325684, 0.429999977350235, 0.08500000089406967]",4
99,response,wS1,tensor(-0.0619),"[0.17000000178813934, 0.3149999976158142, 0.41499999165534973, 0.09999999403953552]",4
100,off,wS2,0,"[0.19999998807907104, 0.2849999964237213, 0.42499998211860657, 0.08999999612569809]",4
101,whisker,wS2,tensor(0.0515),"[0.22499999403953552, 0.25999999046325684, 0.4399999976158142, 0.07499999552965164]",4
102,delay,wS2,tensor(0.3918),"[0.38999998569488525, 0.0949999988079071, 0.44999998807907104, 0.06499999761581421]",4
103,response,wS2,tensor(0.),"[0.19999998807907104, 0.2849999964237213, 0.4599999785423279, 0.054999999701976776]",4
104,off,wM1,0,"[0.19999998807907104, 0.2849999964237213, 0.42499998211860657, 0.08999999612569809]",4
105,whisker,wM1,tensor(-0.0206),"[0.1899999976158142, 0.29499998688697815, 0.44999998807907104, 0.06499999761581421]",4
106,delay,wM1,tensor(0.1031),"[0.25, 0.23499999940395355, 0.4449999928474426, 0.07000000029802322]",4
107,response,wM1,tensor(0.0619),"[0.22999998927116394, 0.2549999952316284, 0.4899999797344208, 0.02499999850988388]",4
